"Gear","VBCode","VBDesc","FAOGearName","FAOGearCode","FGearCode","FGearLabel","FleetGearName","Notes"
1020,10.2,"purse seines","With purse lines (purse seines) PS","01.1.0",10,"PSO","Purse seine Non-tuna",
1030,10.3,"ring nets","With purse lines (purse seines) PS","01.1.0",9,"SSN","Seine","vb fig 29.3c – seems equivalent to a purse seine"
1050,10.5,"purse seine tuna","With purse lines (purse seines) PS","01.1.0",14,"PST","Purse seine Tuna","ISSCFG non-species-specific"
1100,11,"drive-in nets","Lift nets","05.0.0",9,"SSN","Seine",
1200,12,"liftnets or dipnets","Lift nets","05.0.0",9,"SSN","Seine","seems like a no-brainer ??"
1210,12.1,"hand liftnets","Lift nets (not specified) LN","05.9.0",9,"SSN","Seine","Fill-in"
1320,13.2,"cast nets, with or without pockets","Cast nets FCN","06.1.0",1,"OTH","Other","seems like a no-brainer ??"
1400,14,"gillnets","Combined gillnets-trammel nets GTN","07.6.0",11,"GIL","Gillnet",
1400,14,"gillnets","Gill nets and entangling nets","07.0.0",11,"GIL","Gillnet",
1400,14,"gillnets","Gillnets and entangling nets","07.0.0",11,"GIL","Gillnet",
1410,14.1,"set gillnets","Fixed gill nets (on stakes) GNF","07.4.0",11,"GIL","Gillnet",
1410,14.1,"set gillnets","Set gillnets (anchored) GNS","07.1.0",11,"GIL","Gillnet",
1420,14.2,"driftnets","Drift nets GND","07.2.0",11,"GIL","Gillnet",
1420,14.2,"driftnets","Driftnets GND","07.2.0",11,"GIL","Gillnet",
1500,15,"tangle nets","Trammel nets GTR","07.5.0",11,"GIL","Gillnet",
1540,15.4,"trammel nets","Trammel nets GTR","07.5.0",11,"GIL","Gillnet","seems like a no-brainer ??"
